timestep,air_temp,relative_humidity,solar_irradiance
0,19.766956061013037,71.95514330795385,-6.178037359467328
1,19.837499863397525,72.78955104891394,50.56991754035673
2,21.206265545587236,70.99630652191453,111.24202045647144
3,20.737093919050913,69.49457783946133,175.0615068518474
4,21.454295589047852,67.73589570206482,205.20611923706107
5,22.813619553541574,68.18491024476853,266.4894717135314
6,22.309532166009973,66.22712067702179,313.2969399419938
7,23.82753977760805,64.7828684139307,369.2490323799671
8,23.310924927592577,65.3173484174304,396.55381253781513
9,24.751591563445906,58.47347758215459,459.56292331602674
10,24.328574819454982,62.24653086601203,490.66084306649583
11,24.35879893697231,59.90199966199303,508.9650244098316
12,24.482736479052246,55.1095772261115,571.8322229686206
13,24.767023632520388,57.75088413786312,618.6654143819418
14,24.359325290608396,55.39501139140204,640.4539468975227
15,24.496129136628227,56.21076369251405,684.297358504799
16,25.187432828427493,49.591386483310934,679.4889116381576
17,25.132514018503286,46.6586502600366,711.364137034539
18,25.439529427659398,47.39727313562628,754.9489047416088
19,24.90682004391978,39.545410396135594,757.751668192728
20,25.21298778925056,43.77229933275706,773.7900504955165
21,23.809396385148737,37.77274945777256,773.7192864849673
22,23.94969994234804,36.430897096231035,796.3714308732358
23,24.427921307495872,36.53605562079184,788.375025933335
24,24.274392445182926,32.911484901871844,794.6894218733993
25,23.117992406216025,32.72603205351418,794.8690744389789
26,22.47837252239961,34.92598180985629,818.481871981166
27,21.681139142388812,28.841752757646695,772.2169182592511
28,21.17617962097022,28.21984431141393,761.9094080084832
29,21.10844369443346,32.730377085567824,720.1035458236654
30,19.77092998819248,31.311831442484266,723.5505604414238
31,19.1895924527801,31.519681051601733,694.781019632675
32,20.068934649364166,30.145916324577794,675.2138699389658
33,18.460258962283262,30.252688293744296,638.7819345670147
34,17.643874530641725,32.01560354395646,613.6026084927929
35,17.399883555539684,30.979930688655468,587.9315810603911
36,17.469956822525006,31.675692212708533,538.1881284506084
37,17.328250822637006,35.90714855807142,490.3167377282018
38,16.530265222564534,34.09184846699552,443.4227132323009
39,15.636562510992041,35.86191954693016,409.7367428033512
40,16.34967538370625,34.63140528503858,362.9499845873225
41,15.621317492131393,38.23037587566258,326.02042611446353
42,15.019355203487917,40.95114483376523,292.9977863160023
43,15.187458842125022,43.13461454967373,213.3582212418645
44,15.672360389027592,43.328526205136555,185.24115889464375
45,15.399141059995806,46.21772610448983,125.96696002862298
46,15.561895828214897,50.57000627300384,70.7661517003711
47,15.975234749977357,51.14128207212269,-4.452630985885506
48,15.232941444767702,53.38459339204224,16.785567423865807
49,14.75158236810202,55.91035418231857,-9.998647311511492
50,15.20307638076425,57.07901008994349,-2.948076355266652
51,15.638819511599218,57.89812272955261,7.248437061759051
52,15.75389787445656,62.95603650626525,-16.191731885033583
53,15.900344671384456,61.55137424557312,-4.859716978065855
54,16.64497962052501,62.66710442277488,12.272082959813616
55,17.382823374160797,60.67124625416996,2.0505142598691593
56,17.565939691651696,65.15566414337634,-7.843037743615913
57,16.719138630255056,68.13222530820069,-1.7085252107492503
58,17.035444767787727,67.91323802432784,9.566106509349279
59,17.488292329195634,73.61768704913536,-3.5881927084272562
60,18.532355913497753,69.23775936398366,-5.761700135511633
61,18.546119289224954,68.48622232125436,10.485739905560784
62,19.529723803579817,68.31101150409629,6.017024289097421
63,20.404699586136264,73.83140145354861,-12.644309443594539
64,20.977873167998414,69.57018524548486,-10.512442257536827
65,20.82561825226238,72.21075139561154,0.21645523320754012
66,21.90749539227562,70.07638985269762,1.7090894267395818
67,21.966277513295342,71.66397297135153,-3.442097287131461
68,22.69331847744481,68.97984931805877,-11.071808592980716
69,22.16224618875378,64.15527560733118,10.036823624201617
70,23.358721290303265,65.24383218199858,-4.4652089773492385
71,22.956477076327975,60.24848710864451,16.600357706214393
72,23.576996921626332,63.143269393875244,-2.562665421943844
73,24.432595352050683,58.65996535754962,-8.480442599640213
74,24.509475607012103,59.5844244999962,0.2545045812066883
75,25.185311096216875,56.68261168092213,-0.8842597728271372
76,25.726384298297106,55.12821947543253,17.933284110140317
77,25.111991561829036,50.84708610510938,2.3306974229341693
78,24.395276706603106,51.33691250277436,-7.3400584590002005
79,24.820639932335123,48.140105568461784,2.078143336764958
80,25.583418085749134,45.31660420810206,6.832405615972946
81,25.16717420244969,44.28720154873815,-1.412581294993901
82,23.419814086612973,44.557688049641726,-13.358279328923812
83,24.075482741298515,39.48463532014275,-5.68858483379471
84,24.11887188542098,35.56029117246251,8.941227507831389
85,23.569921037796185,37.12067511453576,0.1676845479490245
86,23.360194647248324,35.192469050794514,-16.440142641294504
87,23.677965298549484,36.7738193485571,-3.3477811757540077
88,22.751441045445567,31.67402176886953,-0.8414302827320895
89,22.934256115844434,32.05841882722877,-7.044462371192395
90,22.530256817592225,32.365353454749474,-2.927285464582984
91,21.963781298917077,30.244564826940113,-10.104799295429572
92,20.37974361102426,27.551280395685733,-24.461149495326296
93,20.210760963000883,31.288336053647686,2.630811320799678
94,20.1078422686262,32.71264437765329,-19.212927095776706
95,19.691204445175476,28.89608936666667,31.690002832056834
96,19.36831973436764,34.53358087888731,93.02324288111407
97,19.09397046906356,30.37876079639933,152.0284295015529
98,17.98331478883268,29.243722090603125,212.71704769171743
99,18.86086434721138,29.135397331131834,275.4412623487806
