timestep,T
0,20.00750930494606
1,20.059108881068884
2,21.007591799846544
3,21.211290398523364
4,21.710307985524317
5,21.833086476163388
6,22.18281098917638
7,22.458418997086344
8,22.843725612666397
9,23.574254455468086
10,23.83712983352613
11,24.39439963922945
12,24.83669144895406
13,25.143908668349138
14,25.232550373323654
15,25.442809166236003
16,25.549898783098453
17,25.92656780696942
18,25.89167759602885
19,25.946006305373327
20,25.94741753271172
21,25.809681569207555
22,26.00854647559517
23,25.955391141669327
24,25.854478541768795
25,25.451304899111356
26,25.363964274782546
27,25.170609415039788
28,24.828644730211423
29,24.66300000094841
30,24.63979382468908
31,23.86533977385029
32,23.653653798473247
33,23.286211801347555
34,23.017611401022442
35,22.439366536327675
36,22.36930791947566
37,21.765405134004986
38,21.32933805118789
39,21.01865412325214
40,20.76314543627173
41,20.326570675782996
42,20.35644125712564
43,19.6335095007837
44,19.434608854053995
45,18.83238890302253
46,18.90282040409608
47,18.241667285774607
48,18.333133468999208
49,18.033892013136697
50,17.915622557032414
50,18.215622557032415
51,18.24028301860285
52,17.993470889860873
53,17.8752495842163
54,18.061128213000245
55,18.00907427475912
56,18.01369726308518
57,18.367411733396427
58,18.441306951035475
59,19.133410284124462
60,19.63979756005229
61,19.34930614623103
62,19.87327800327345
63,19.876346947899304
64,20.313862064464065
65,20.937235206832966
66,21.342270156977342
67,21.43656545640044
68,22.15406529646848
69,21.971771086517634
70,22.55107731062279
71,23.04266160974984
72,23.50457165814203
73,23.96503395048708
74,24.354001385823036
75,24.756656452678776
76,24.764614802546458
77,25.071135921531127
78,25.721071537602974
79,26.066233317578185
80,25.97465357032149
81,25.92243531291123
82,25.862046765390918
83,25.859603257971592
84,26.031135816983156
85,25.864736733199585
86,25.869429745732756
87,25.503158006623913
88,25.47763749755804
89,24.98312946706065
90,24.931993971672824
91,24.72554355358875
92,24.58642469886095
93,23.871184744255583
94,23.966069439530557
95,23.63600494060796
96,22.940706964739118
97,22.751650424957845
98,22.53605087088311
99,21.85226219451207
